ID,숙소명,주소,전화번호,편의시설 및 서비스 정보,설명,위도,경도,지역코드,홈페이지
12,롯데호텔 서울,서울 중구 을지로 30,02-771-1000,"무료 주차, 무료 초고속 인터넷(Wi-Fi), 성인 풀, 헬스장/피트니스 센터, 바/라운지, 베이비시팅, 공항 교통편, 인터넷 사용 가능한 비지니스 센터","대한민국 서울의 중심에 위치하여 1,015실 규모를 자랑하는 한국 최고의 럭셔리 비즈니스 호텔인 롯데호텔서울은 고객 한 분 한 분의 높은 취향을 만족시킬 수 있도록 품격과 감각을 높였으며, 네 개의 세계적인 인테리어 회사들이 참가하여 설계한 독창적인 본관 객실은 최신 트렌드를 반영하며 성공적인 비즈니스를 위한 최적의 공간입니다. 2018년 9월 리뉴얼된 이그제큐티브타워는 한층 더 정교한 서비스와 세계적인 인테리어 회사 ""GA""가 설계한 품격 있는 공간으로 재탄생하여 럭셔리 호텔의 새로운 지평을 열어갈 것 입니다. 또한, 롯데호텔서울은 각종 공공기관과 가까운 위치에 있으며 백화점과 면세점이 위치하여 편리성을 자랑합니다. 품격 있는 가족 모임과 럭셔리 웨딩을 위한 최상의 장소를 제공하고 있으며, 최고급 레스토랑을 갖추고 있어 국빈 등 VIP 고객을 모시기에 최적의 공간을 제공합니다.",37.5653,126.980979,1,https://www.lottehotel.com/seoul-hotel/ko.html
13,JW 메리어트 호텔 서울,"서울 서초구 신반포로 176","02-6282-6262","무료 주차, 무료 초고속 인터넷(Wi-Fi), 풀, 헬스장/피트니스 센터, 바/라운지, 미니 골프, 스쿼시, 어린이 숙박 무료","JW 메리어트 서울은 다양한 쇼핑과 문화, 교통의 중심지인 강남 반포 센트럴시티에 위치하며 펜트하우스 2개와 스위트룸 32개를 포함한 총 379개의 객실로 이루어져 있습니다. 품격과 클래스를 맛볼 수 있는 그릴, 일식, 뷔페 레스토랑 및 라운지, 카페, 바, 파티세리 등에서 국내외 탑 셰프들이 준비하는 오뜨 퀴진(Haute Cuisine)을 선보입니다. JW 메리어트 서울은 행사의 특색에 따라 선택 및 조정 가능한 그랜드 볼룸과 6개의 살롱을 보유하고 있어 대형 컨퍼런스, 각종 연회 및 비즈니스 미팅과 웨딩을 위한 최적의 장소입니다. 한편, 국내 호텔 최대 규모의 피트니스 공간인 ‘마르퀴스 스파 & 피트니스’는 도심 속 청정환경에서 진정한 휴식과 운동, 힐링을 즐기실 수 있는 완벽한 웰니스 공간입니다.",37.5039018,127.0047481,1,https://www.marriott.co.kr/hotels/travel/seljw-jw-marriott-hotel-seoul/
14,이비스 스타일 앰배서더 서울 명동,서울 서울특별시 중구 삼일대로 302,02-6020-8888,"호텔 내 호텔 전용 유료 주차장, 무료 초고속 인터넷(Wi-Fi), 헬스장/피트니스 센터, 바/라운지, 공항 교통편, 인터넷 사용 가능한 비지니스 센터, 회의실, 루프탑 테라스","서울 최고의 비지니스와 관광 쇼핑의 중심지인 명동에 위치하고 있는 이비스 스타일 앰배서더 서울 명동은 180개의 트렌디한 객실과 남산을 바라보며 도심 속의 여유를 즐길 수 있는 Roof Top Bar & Restaurant, 도심 속의 리조트를 연상케 하는 20F 노천탕 & 사우나, 피트니스센터, 미팅 룸 등 다양한 편의 시설을 제공합니다. 또한 고객님의 쾌적한 투숙환경 조성을 위해 호텔 전체를 금연으로 운영하고 있습니다.",37.5619759,126.9895644,1,http://ibisstyles.ambatel.com/myeongdong
15,인터컨티넨탈 서울 코엑스,"서울 강남구 봉은사로 524","080-880-5925","무료 주차, 무료 초고속 인터넷(Wi-Fi), 풀, 헬스장/피트니스 센터, 바/라운지, 카지노 및 도박장, 공항 교통편, 인터넷 사용 가능한 비지니스 센터","인터컨티넨탈 서울 코엑스는 고급스러운 5성급 호텔로 세계 무역 센터에 자리해 있으며 코엑스 단지에서 350m 떨어져 있습니다. 호텔은 5개의 레스토랑, 피트니스 센터 및 무료 주차장을 보유하고 있습니다. 모든 객실에서 무료 Wi-Fi를 이용하실 수 있습니다. 넓은 객실은 현대적인 인테리어를 자랑하며 냉난방 시설을 갖추고 있습니다. 각 객실에는 미니바, 업무용 책상, 위성 TV가 마련되어 있습니다. 인터컨티넨탈 서울 코엑스는 스카이라인 전망을 감상하며 이탈리아 요리를 즐길 수 있는 스카이 라운지 등 4개의 레스토랑과 바를 운영하고 있습니다. 뷔페 레스토랑인 브래서리는 온종일 운영하며, 세계 각국의 다양한 별미 요리를 선보입니다. 각 섹션에서 동양에서 서양에 이르기까지 독특하고 신선한 제철 요리를 맛보실 수 있습니다.",37.5126864,127.0574219,1,http://seoul.intercontinental.com/iccoex
16,앰배서더 서울 풀만 호텔,서울 중구 동호로 287,02-2275-1101,"무료 주차, 무료 초고속 인터넷(Wi-Fi), 풀, 헬스장/피트니스 센터, 바/라운지, 무료 셔틀 또는 택시 서비스, 인터넷 사용 가능한 비지니스 센터, 콘퍼런스 시설","""Yours Always, 당신의 모든 순간을 특별한 순간으로"" 서울의 중심에 위치한 앰배서더 서울 풀만 호텔은 국내 첫 민영 호텔로써 1955년부터 현재까지 지켜온 유서 깊은(Storied) 헤리티지를 토대로 고객에게 최상의 가치를 선사합니다. 호텔 외관, 객실, 레스토랑, 바 등 전관 리노베이션을 통해 새롭게 단장한 앰배서더 서울 풀만 호텔은 269개의 객실과 49개의 레지던스를 갖추고 있습니다. 프리미엄 라이브 뷔페 ‘더 킹스’와 더불어 새롭게 선보이는 고멧 그로서리 다이닝 ‘1955 그로세리아’에서는 컨템포러리 유러피안 다이닝을 만나실 수 있으며, ‘더 쉐프스 테이블’은 프리미엄 철판요리와 스시로 여러분을 미식의 세계로 초대합니다. 또한, 실내 수영장, 피트니스, 스크린골프 등 다양한 피트니스 시설을 갖춘 웰니스 센터에서는 전문적인 퍼스널 트레이닝 시스템을 통해 스마트한 라이프 스타일을 경험하실 수 있으며, 이국적인 정취의 4층 야외 수영장에서 도심 속 자연을 느끼며 여유로운 휴식을 만끽하실 수 있습니다. 친환경, 스마트 그리고 럭셔리의 모든 가치를 겸비하고 있는 앰배서더 서울 풀만 호텔은 여행과 출장을 위해 방문한 모든 분들께 최적의 공간입니다. 세심하고 품격 있는 서비스를 통해 고객 여러분의 소중한 순간(Treasured Moments)을 약속 드립니다.",37.5604038,127.0024791,1,https://www.ambatel.com/theambassador/seoul/ko/main.do
17,오크우드 프리미어 코엑스 센터,서울 강남구 테헤란로87길 46,02-3466-7000,"전기 자동차 충전소, 무료 인터넷, 풀, 헬스장/피트니스 센터, 바/라운지, 카지노 및 도박장, 어린이 숙박 무료, 어린이용 실내 놀이 구역","오크우드 프리미어 코엑스 센터는 최고급 호텔이 주는 서비스와 더불어 내 집 같은 편안함과 여유로움으로 고객 여러분을 맞이합니다. 아시아의 매력적인 도시 서울의 비즈니스와 문화의 중심 강남 무역센터 단지 내에 위치해 있어 최적의 접근성을 자랑합니다. 코엑스, 한국종합무역센터, 아셈타워 등과 인접해 편리한 비즈니스 업무 환경을 제공합니다. 현대백화점, 한국도심공항, 스타필드 코엑스몰과 연결되어 여가 생활의 품격을 더해 드립니다. 넓은 면적과 여유로운 수납 공간을 자랑하는 281개의 객실은 가장 기본 타입인 스튜디오부터 1∙2∙3∙4 베드룸, 펜트하우스까지 다양한 타입으로 선보입니다. 하루부터 1년 이상의 장기 투숙까지 가능한 오크우드 프리미어 코엑스 센터의 객실에는 냉장고, 전자레인지, 식기세척기 등 주방 시설이 완비되어 있습니다. 여기에 대형 TV, DVD, 세탁기 등의 생활가전까지 갖추고 있어 완벽한 주거 공간을 제공합니다.",37.51093,127.058103,1,https://oakwoodpremier.co.kr/front/ko/opcc
18,비스타 워커힐 서울,서울 광진구 워커힐로 177,02-455-5000,"전기 자동차 충전소, 무료 초고속 인터넷(Wi-Fi), 풀, 헬스장/피트니스 센터, 바/라운지, 카지노 및 도박장, 키즈 클럽, 유모차","CREATE MOMENTS BEYOND YOUR EXPECTATION 편안하고 감각적인 인테리어와 자연 친화적 환경, 최고의 휴식을 위한 PA 서비스 등과 함께 그 어디에서도 경험할 수 없는 차별화된 가치를 만나보세요. SUSTAINABLE LUXURY 한강이 한 눈에 내려다 보이는 아차산 위에 구름처럼 자리한 비스타 워커힐 서울은 도심 속 그 어디에서도 경험할 수 없는 아름다운 자연을 고객들의 삶 속에 되돌려 드립니다. 하이 테크놀로지를 통해 새로운 미래를 열어나가고, 자연을 우리의 삶 속에서 함께 살아 숨쉬게 하며, 이를 통해 인간의 삶에 생동감을 불어 넣습니다. 사람과 자연 그리고 미래가 공존 · 공영하는 새로운 공간, 비스타 워커힐 서울에서는 차별화되고 크리에이티브한 라이프스타일 경험들을 통해 지속 가능한 진정한 LUXURY 문화를 선도합니다.",37.5543699,127.1112096,1,http://www.vistawalkerhillseoul.com/
19,그랜드 하얏트 서울,서울 용산구 소월로 322,02-797-1234,"발렛주차,무료 초고속 인터넷(Wi-Fi), 풀, 헬스장/피트니스 센터, 바/라운지, 나이트클럽/DJ, 공항 교통편, 인터넷 사용 가능한 비지니스 센터","그랜드 하얏트 서울(은)는 서울 추천 숙소입니다. 가성비 우수, 편안하고 편리함까지 갖춘 이곳은 패밀리 한 분위기에 여러분같은 여행객들에게 꼭 맞는 부대시설들을 제공합니다.

G명동 쇼핑 거리(2.8 km), 가로수길(3.1 km)(와)과 같은 인기 명소와 가깝기 때문에, Seoul Hyatt 숙박 고객들은 서울에서 가장 잘 알려진 관광명소들을 손 쉽게 경험할 수 있습니다.

무료 무선 인터넷은 투숙객들에게 제공되고, 그랜드 하얏트 서울 객실에는 평면 TV, 냉장고, 에어컨(이)가 구비되어 있습니다.

이 곳에서 지내시는 동안 룸서비스, 컨시어지(을)를 포함한 부대시설의 혜택을 마음껏 누리시기 바랍니다. Grand Hyatt Seoul Hotel 투숙객들은 이 곳에서 제공하는 수영장, 아침식사도 언제든지 즐기실 수 있습니다. 차로 오시는 투숙객들은 주차도 가능합니다.

서울에는 태국 요리(이)가 많습니다. 따라서 여기 있는 동안에는 맛있는 메뉴를 선보이는 부다스밸리 이태원점, 띤띤, 왕 타이(와)과 같은 인기 맛집에서 반드시 드셔보시기 바랍니다.

서울(은)는 삼성미술관 리움, 국립현대미술관 서울관, 예술의 전당(을)를 포함한 멋진 미술관들로 알려져 있고, 그랜드 하얏트 서울(으)로부터도 멀지 않습니다.

그랜드 하얏트 서울에서는 여러분의 편리와 만족감이 최우선입니다. 그리고, 여러분의 서울 방문을 환영합니다.",37.538988,126.9958415,1,https://www.hyatt.com/ko-KR/hotel/south-korea/grand-hyatt-seoul/selrs?src=prop_misc_selrs_other_naver
110,노보텔 앰배서더 서울 강남 호텔,서울 강남구 봉은사로 130,02-567-1101,"무료 주차,무료 초고속 인터넷(Wi-Fi), 풀, 헬스장/피트니스 센터, 바/라운지, 나이트클럽/DJ, 어린이 숙박 무료, 아동 활동(아동/가족 친화적)","강남의 패셔너블한 쇼핑, 레스토랑 지구 중심에 위치하고 있으며, COEX와 대중교통 허브와 가깝습니다. 스위트와 새로 단장한 슈페리어룸과 프리미어 이그제큐티브룸 플로어를 비롯한 332개의 객실은 물론 다용도 회의실, 소회의실을 갖추고 있습니다. 피로 회복을 위한 실내 온수 수영장, 사우나, 골프 레인지를 갖춘 최첨단 ""Inbalance"" 피트니스 센터와 함께 모던과 클래식이 어우러진 레스토랑, 엔터테인먼트 부대 시설이 완비되어 있습니다.",37.5055121,127.0289196,1,https://www.instagram.com/novotel_gangnam/
111,웨스틴 조선 서울,서울 중구 소공로 106 Jung-Gu,02-771-0500,"무료 주차,무료 초고속 인터넷(Wi-Fi), 풀, 헬스장/피트니스 센터, 바/라운지, 호텔 외부 볼링장, 공항 교통편, 인터넷 사용 가능한 비지니스 센터","서울 웨스틴조선호텔은 비즈니스와 쇼핑의 최적지인 서울의 심장부에 위치한 특 1급 호텔로, 각국의 대사관, 은행, 정부부처, 고궁과 백화점과 명동에 인접한 곳에 자리하고 있으며, 인천 국제공항까지는 차로 1시간10분 거리에 있습니다. 462개 중 반 이상인 268개 객실(스위트 룸 41개)이 웨스틴 이그제큐티브 클럽층으로 고품격 서비스를 지향하고 있으며, 모든 객실은 케이블 모뎀(LAN), 보이스 메일 등 비즈니스 제반 시설은 물론 아이팟 스피커, 자동 온도조절, 미니 바와 24시간 룸 서비스 등 최신 서비스와 시설로 편의를 제공하고 있습니다. 또한 편안한 휴식을 위해 ‘천상의 수면’을 제공하는 웨스틴 社의 ‘헤븐리 베드(Heavenly Bed)’가 구비되어 최상의 안락함을 보장할 뿐 아니라 항알러지 처리를 한 카페트, 프리미엄 네스프레소 커피머신 등으로 편안함을 더했습니다 수상경력 • 인스티튜셔널 인베스터(Institutional Investor)-세계 100대 호텔(4년 연속) • 아시아머니(Asiamoney)–서울 최고의 호텔(3년 연속) • 트레블 앤 레저(Travel +Leisure)–세계 500대 호텔 • 콘데나스트 트래블러(Conde Nast Traveler)-서울 최고의 호텔 • 스마트 트래블 아시아(Smart Travel Asia)-서울 최고의 호텔(6년 연속)",37.564378,126.980058,1,https://www.josunhotel.com/hotel/westinSeoul.do
